id,subject,email_text,final_category,route,proto_score,order_id,order_ids_all,urls,emails,spam_score,spam_signals,spam_flag_final,low_confidence
23,DÔLEŽITÉ - váš účet bude zablokovaný,UPOZORNENIE! Váš účet na GymBeam.sk bude zablokovaný do 24 hodín! Musíte si overiť identitu kliknutím na tento link: www.phishing-gymbeam.com a zadať prihlasovacie údaje! URGENTNE!!!,Spam / Phishing,blocked,0.84661204,,,www.phishing-gymbeam.com,,12,"24 hodín,has_url,kliknutím,many_exclamations,overiť identitu,prihlasovacie údaje,upozornenie,váš účet,zablokovan,zablokovaný,zadať",True,True
24,Rozsypaný proteín,"Dobrý deň, dnes mi prišiel balík ale proteín ktorý som si objednal je celý rozsypaný. Obal bol poškodený. Objednávka 45728. Čo mám robiť?",Return / Complaint,human,0.8667392,45728,45728,,,0,,False,False
25,Rozmyslel som si to,Prosím vás môžete zrušiť objednávku 53268? Rozmyslel som si to.,Order Cancel,bot,0.8705203,53268,53268,,,0,,False,False
26,Je vrátenie zadarmo?,"Objednávka 61429, chcem vrátiť všetky produkty. Zaplatím za dopravu alebo je to zadarmo?",Return / Complaint,human,0.8428513,61429,61429,,,0,,False,False
27,Zrušenie pred expedíciou,"Dobrý deň, objednávka 66819, stále je v sklade? Chcem ju zrušiť.",Order Cancel,human,0.8586672,66819,66819,,,0,,False,True
28,Status objednávky 74158,"Dobrý deň, potrebujem vedieť status mojej objednávky. Číslo: 74158",Order Status,bot,0.8731725,74158,"74158,74158",,,0,,False,False
29,Program vernosti,"Ahoj, máte nejaký vernostný program pre stálych zákazníkov?",Product Question,bot,0.85842395,,,,,0,,False,False
30,Kde balík?,"Ahoj, kde mám balík? Obj 47852",Return / Complaint,human,0.85495716,47852,47852,,,0,,False,True
31,Prasknutá dóza,"Dobrý večer, obj. 79512 obsahuje poškodený tovar. Prasknutá dóza s proteínom, všetko je vysypané po balíku.",Return / Complaint,human,0.8592777,79512,79512,,,0,,False,False
32,Omyl pri platbe,"Ahoj, obj. 79456 zrušiť. Vybral som zlý spôsob platby.",Order Cancel,bot,0.86584365,79456,79456,,,0,,False,False
33,Objednať kuriéra na vyzdvihnutie,"Obj. 91756, tovar mi nevyhovuje, chcem vrátiť. Môžete objednať kuriéra?",Return / Complaint,human,0.8399631,91756,91756,,,0,,False,True
34,Zmena na dobierku,"Dobrý večer, objednávka 53728, môžem zmeniť platbu na dobierku?",Order Modify,human,0.86383986,53728,53728,,,0,,False,True
35,Môžem vrátiť tovar?,"Dobrý večer, dá sa vrátiť tovar ak mi nebude vyhovovať?",Return / Complaint,human,0.8577472,,,,,0,,False,False
36,Rozbitá fľaša s vitamínmi,"Dobrý večer, balík 51942 bol doručený s rozbitou fľašou. Všetko je lepkavé od vitamínov.",Return / Complaint,human,0.85214424,51942,51942,,,0,,False,False
37,Zmeniť dopravcu,"Dobrý večer, obj 83542, dá sa zmeniť dopravca? Chcem radšej kuriéra.",Order Modify,human,0.85013497,83542,83542,,,0,,False,True
38,Dlhé čakanie,"Ahojte, mohol by som vedieť kedy konečne príde objednávka 73945? Čakám už dlho.",Order Status,bot,0.89297026,73945,73945,,,0,,False,False
39,Ako dlho trvá vrátenie?,"Obj 79684, chcem vrátiť, príchut mi vôbec nevyhovuje. Ako dlho trvá vrátenie peňazí?",Store / Delivery / Availability,bot,0.83841735,79684,79684,,,0,,False,False
40,Čo je TatraPay?,"Ahojte, čo je to TatraPay? Ako funguje táto platba?",Order Status,bot,0.8063399,,,,,0,,False,False
41,Link nefunguje,"Ahoj, snažím sa dokončiť objednávku ale stránka mi stále píše error. Čo s tým?",Order Status,bot,0.8817898,,,,,0,,False,False
42,Potrebujem tracking,"Dobrý deň, potrebujem tracking number pre objednávku 58963. Nemôžem nájsť email s info.",Order Status,bot,0.87958056,58963,58963,,,0,,False,False
43,Otvorený proteín vrátenie,"Ahoj, môžem vrátiť otvorený proteín? Obj. 86132. Vyskúšal som jednu dávku a nejde mi to.",Store / Delivery / Availability,human,0.8504346,86132,86132,,,0,,False,True
44,Alergia na orechy,"Dobrý deň, som alergický na orechy. Ktoré proteíny neobsahujú žiadne orechové zložky? Potrebujem vedieť presne.",Product Question,human,0.8565201,,,,,0,,False,True
45,POTREBUJEM OKAMŽITE RIEŠENIE!!!,"TOTO JE ABSOLÚTNE NEPRIJATEĽNÉ! Už tretíkrát mám problém s objednávkou! Ak to nevyriešite okamžite, obraciam sa na súd! Mám už všetko pripravené pre právnika!",Order Status,bot,0.8799266,,,,,2,"lots_of_caps,many_exclamations",False,False
46,Stratil som trpezlivosť,Kde je moja objednávka 88901? Už som stratil trpezlivosť.,Order Status,human,0.8622135,88901,88901,,,0,,False,True
47,Poškodený produkt,"Objednávka 72986, produkt je poškodený. Chcem výmenu alebo vrátenie peňazí.",Return / Complaint,human,0.868572,72986,72986,,,0,,False,False
48,Vrátenie celej objednávky,"Objednávka 83526, chcem vrátiť celú objednávku. Kedy mi vrátia peniaze?",Order Status,human,0.83895814,83526,83526,,,0,,False,True
49,Ako dlho trvá doručenie?,"Ahojte, za koľko dní mi príde objednávka približne?",Store / Delivery / Availability,bot,0.90115,,,,,0,,False,False
50,ZNIČENÝ BALÍK!,"TOTO JE NEHORÁZNE! Balík prišiel úplne zničený, všetko porozhadzované! Obj. 53897. Idem sa sťažovať aj prepravcovi!",Return / Complaint,human,0.85176104,53897,53897,,,2,"lots_of_caps,many_exclamations",False,False
51,LACNÉ VIAGRA!!!,"KÚPTE SI VIAGRA, CIALIS BEZ RECEPTU!!! NAJNIŽŠIE CENY NA SLOVENSKU!!! WWW.SPAM-VIAGRA.COM SUPER AKCIA LEN DNES!!!",Spam / Phishing,blocked,0.827046,,,WWW.SPAM-VIAGRA.COM,,5,"has_url,lacné,lots_of_caps,many_exclamations",True,True
52,Tracking number?,"Čauko, objednal som proteín minulý týždeň, objednávka 44556, a stále nič. Môžete mi poslať tracking?",Order Status,bot,0.88147503,44556,44556,,,0,,False,False
53,Sponzorstvo YouTube fitness kanála,"Ahoj, mám fitness YouTube kanál s 5000 odberateľmi. Nahrávam tréningové videá a recenzie suplementov. Zaujíma vás spolupráca? Môžem robiť recenzie vašich produktov výmenou za doplnky zadarmo.",Product Question,human,0.86888874,5000,5000,,,0,,False,True
54,KATASTROFA!!!,"OBJEDNÁVKA 73826 JE KATASTROFA! Všetko poškodené, balík vyzeral že ním niekto kopal!!!",Return / Complaint,human,0.852803,73826,73826,,,2,"lots_of_caps,many_exclamations",False,False
55,Funguje zľavový kupón s poukážkou?,"Prosím vás, môžem použiť zľavový kupón aj s darčekovou poukážkou súčasne?",Product Question,bot,0.8227131,,,,,0,,False,False
56,Anabolic Whey príchuť vanilka,"Ahoj, aká je chuť vanilkovej príchuti u Anabolic Whey? Nie je to príliš sladké? Mám zlé skúsenosti s inými značkami.",Return / Complaint,human,0.8552906,,,,,0,,False,False
57,Tracking number prosím,"Ahoj, obj 91247, môžete mi poslať tracking number? Ďakujem!",Order Status,human,0.84840965,91247,91247,,,0,,False,True
58,HVOR JE ZÁSIELKA????,"AHOJ! Kde je moja zásielka???? Objednávka 63478, už 6 dní čakám!!!!",Order Status,human,0.8568494,63478,63478,,,2,"lots_of_caps,many_exclamations",False,True
59,Nesprávny typ whey,"Dobrý deň, obj 69438 obsahuje nesprávny produkt. Objednal som iso whey ale prišiel mi klasický.",Return / Complaint,human,0.85579425,69438,69438,,,0,,False,False
60,Dámske legíny Simple,"Ahojte, zaujímajú ma dámske legíny Simple Black. Sú bezšvové? A majú vysoký pás?",Product Question,human,0.8286219,,,,,0,,False,True
61,Email o odoslaní som nedostal,"Dobrý deň, objednávka 79134, žiadny email o odoslaní som nedostal. Čo sa deje?",Order Status,bot,0.8836301,79134,79134,,,0,,False,False
62,Kde balík???,Prosím vás kde je balík??? Obj. 62895,Order Status,human,0.85161597,62895,62895,,,0,,False,True
63,Žiadne potvrdenie objednávky,"Dobrý deň, pred 3 dňami som vytvoril objednávku ale žiadny email s potvrdením mi neprišiel. Čo mám robiť?",Order Status,bot,0.88885885,,,,,0,,False,False
64,Iný spôsob platby,"Prosím vás, objednávka 54917, môžem zmeniť platbu? Radšej zaplatím vopred.",Order Modify,human,0.85714537,54917,54917,,,0,,False,False
65,Čo robiť pri poškodenom balíku?,"Dobrý deň, čo mám robiť ak mi kuriér prinesie poškodený balík?",Order Status,bot,0.8682398,,,,,0,,False,False
66,Spammmm,KÚPTE SI LACNÉ LIEKY BEZ RECEPTU WWW.SPAM.COM SUPER PONUKA!!!,Spam / Phishing,blocked,0.8181915,,,WWW.SPAM.COM,,5,"has_url,lacné,lots_of_caps,many_exclamations",True,True
67,Spolupracujete s Woltom?,"Prosím vás, dá sa objednať cez Wolt alebo inú donáškovú službu?",Store / Delivery / Availability,human,0.8396701,,,,,0,,False,True
68,Objednávka kamaráta,"Dobrý deň, môj kamarát si objednal niečo na moje meno ale teraz to nechce. Objednávka je jeho nie moja takže ju chcem zrušiť.",Order Cancel,bot,0.88130194,,,,,0,,False,False
69,Vrátenie darčekového balíčka,"Dobrý večer, potrebujem vrátiť darčekový balíček ktorý som dostal. Je to možné? Obj 79268.",Return / Complaint,human,0.8535044,79268,79268,,,0,,False,False
70,Ktoré karty prijímate?,"Prosím vás, ktoré platobné karty akceptujete?",Store / Delivery / Availability,bot,0.8846811,,,,,0,,False,False
71,Originálny obal nutný?,"Objednávka 65937 vrátenie, musím zabaľovať tovar do originálneho obalu?",Return / Complaint,human,0.82813716,65937,65937,,,0,,False,False
72,Pre vegetariánov,"Ahoj, ktoré produkty sú vhodné pre vegetariánov?",Product Question,bot,0.8668273,,,,,0,,False,False
73,KDE JE MOJA OBJEDNÁVKA???,URGENTNE potrebujem vedieť čo sa deje s objednávkou 78123! Platil som expresne doručenie a už 5 dní nič!!!,Order Status,human,0.8749141,78123,78123,,,2,"lots_of_caps,many_exclamations",False,True
74,Zrušenie objednávky 79614,"Dobrý deň, zrušenie objednávky č. 79614. Kúpil som to omylom.",Order Cancel,bot,0.86918634,79614,"79614,79614",,,0,,False,False
75,Príchuť čokoláda recenzie,"Ahoj, je čokoládová príchut whey naozaj dobrá? Čítam zmiešané recenzie.",Return / Complaint,human,0.8602967,,,,,0,,False,False
76,Poškodený balík od kuriéra,"Ahojte, balík 63429 bol viditeľne poškodený, ale kuriér ma núti ho prevziať. Čo mám robiť?",Order Status,bot,0.8690933,63429,63429,,,0,,False,False
77,Tracking ASAP!,Objednávka 59871 potrebujem tracking number ASAP!,Order Status,bot,0.84596866,59871,59871,,,0,,False,False
78,Alergie na laktózu,"Prosím vás, ktoré proteíny sú vhodné pre ľudí s laktózovou intoleranciou?",Product Question,bot,0.8766506,,,,,0,,False,False
79,Vráti sa poštovné?,Chcem vrátiť tovar z objednávky 69173. Vráti sa mi aj poštovné čo som zaplatil?,Return / Complaint,human,0.8554699,69173,69173,,,0,,False,False
80,Iná doprava potrebná,"Obj. 86412, chcem zmeniť dopravu na výdajné miesto namiesto domu.",Return / Complaint,human,0.84065825,86412,86412,,,0,,False,False
81,Predtréningový doplnok,"Ahoj, máte nejaký predtréningový doplnok čo by ste odporúčali?",Product Question,bot,0.8915357,,,,,0,,False,False
82,Poškodený balík,"Dobrý deň, balík 55934 prišiel poškodený, krabica bola celá rozbitá. Dve veci vnútri sú poškodené.",Return / Complaint,human,0.8704564,55934,55934,,,0,,False,False
83,Kedy odoslaná?,"Objednávka 66741, kedy odoslaná? Ďakujem",Order Status,bot,0.85694265,66741,66741,,,0,,False,False
84,Vegan proteín odporúčanie,"Dobrý deň, som vegán. Ktorý rastlinný proteín mi odporúčate? Sójový alebo hrachový?",Product Question,bot,0.8693689,,,,,0,,False,False
85,Vrátenie proteínu,"Dobrý deň, chcem vrátiť proteín z objednávky 45982. Nechuť mi, nevyhovuje mi. Ako to mám spraviť?",Return / Complaint,human,0.8543838,45982,45982,,,0,,False,True
86,Odobrať jeden produkt,"Ahoj, obj 77591, môžete odobrať jeden produkt z objednávky? Už ho nepotrebujem.",Order Cancel,bot,0.86011505,77591,77591,,,0,,False,False
87,Podpora lokálneho atlétického klubu,"Ahoj, som tréner atlétického klubu v Nitre. Máme 35 mladých talentov, ktorí potrebujú podporu. Mohli by ste prispieť finančne alebo produktmi? Výmenou môžeme dať vaše logo na naše dresy a mention na Facebooku.",Cooperation / Partnership,human,0.8766516,,,,,0,,False,False
88,Lehota na vrátenie?,"Ahojte, chcem vrátiť objednávku 76249. Je nejaká lehota na vrátenie?",Return / Complaint,human,0.85384125,76249,76249,,,0,,False,False
89,Pleseň na tyčinkách!!!,"Objednávka 88623, tyčinky majú pleseň!!! To je nechutné! Chcem reklamovať a peniaze naspäť!",Order Cancel,human,0.8410375,88623,88623,,,1,many_exclamations,False,True
90,Proteín pre ženy odporúčanie,"Ahojte, som žena a chcem začať brať proteín. Ktorý by ste mi odporúčali? Nechcem sa príliš svalovať.",Product Question,bot,0.8894179,,,,,0,,False,False
91,Kedy príde balík?,"Dobrý deň, chcel by som sa opýtať kedy mi príde balík. Objednávka: 64523",Order Status,bot,0.8780289,64523,64523,,,0,,False,False
92,Chýba kreatín,"Ahoj, objednávka 68945, chýba mi jeden produkt, kreatín. Platil som za 3 veci ale prišli len 2.",Return / Complaint,human,0.86828715,68945,68945,,,0,,False,False
93,Zloženie gainery,"Ahoj, môžete mi poslať presné zloženie vášho mass gainery? Zaujíma ma pomer sacharidov a bielkovín.",Product Question,bot,0.8655392,,,,,0,,False,False
94,Chýba a poškodené,"Ahoj, objednávka 86235, jeden produkt úplne chýba a druhý je poškodený. Potrebujem riešenie rýchlo.",Return / Complaint,human,0.8815954,86235,86235,,,0,,False,False
95,Objednávka 67234,"Ahoj, potrebujem zistiť kde je moja objednávka 67234. Už je to týždeň a nič. Tracking number som nedostal.",Order Status,human,0.87419856,67234,"67234,67234",,,0,,False,True
96,ZRUŠIŤ IHNEĎ!,Obj. 81547 ZRUŠIŤ IHNEĎ! Zle som vyplnil adresu!,Order Cancel,bot,0.8673858,81547,81547,,,2,"lots_of_caps,many_exclamations",False,False
97,Tovar pred týždňom,"Dobrý večer, objednal som tovar pred týždňom, objednávka 69234, a stále nemám tracking. Kedy to ide?",Order Status,bot,0.89111984,69234,69234,,,0,,False,False
98,Pôvod výrobku,"Ahoj, odkiaľ pochádzajú vaše proteíny? Kde sa vyrábajú? Je to dôveryhodný výrobca?",Product Question,bot,0.85796607,,,,,0,,False,False
99,Koľko stojí doprava na Slovensku?,"Ahoj, koľko stojí doprava na Slovensku? Sú nejaké rozdiely medzi dopravcami?",Store / Delivery / Availability,bot,0.8917676,,,,,0,,False,False
100,status?,obj. 94567 status?,Product Question,human,0.8191902,94567,94567,,,0,,False,True
101,Zrušiť objednávku pred hodinou,"Ahoj, môžem ešte zrušiť objednávku 58932? Vytvoril som ju pred hodinou.",Order Cancel,bot,0.86335194,58932,58932,,,0,,False,False
102,Kedy objednáte kuriéra?,"Dobrý deň, vrátenie tovaru objednávka 58419. Kedy objednáte kuriéra na vyzdvihnutie?",Order Status,bot,0.84221697,58419,58419,,,0,,False,False
103,Odosielate v sobotu?,"Dobrý večer, odosielate objednávky aj cez víkend?",Store / Delivery / Availability,bot,0.8997851,,,,,0,,False,False
104,Poškodená fľaša,"Dobrý deň, v objednávke 74562 je poškodená fľaša na pitie. Je celá pomačkaná. Ako to vyriešime?",Return / Complaint,human,0.85910124,74562,74562,,,0,,False,False
105,Hmotnosť balíka,"Dobrý deň, koľko približne váži balík s 3kg proteínu? Riešim to kvôli doprave.",Order Status,human,0.8534155,,,,,0,,False,True
106,Kombinovať suplementy?,"Dobrý deň, môžem kombinovať kreatín s proteínom a BCAA súčasne?",Product Question,human,0.8591226,,,,,0,,False,True
107,Kryptomeny - GUARANTEED PROFIT,Hello! I have exclusive access to new cryptocurrency that will explode 1000x!!! Invest now minimum $500 and become MILLIONAIRE in 6 months!!! Contact: crypto-millions@scam.com LIMITED OFFER!!!,Spam / Phishing,blocked,0.8096056,,,,crypto-millions@scam.com,6,"become millionaire,exclusive access,guaranteed profit,has_emails,invest now,many_exclamations",True,True
108,Najlepšia príchut,"Dobrý večer, ktorá príchut proteínu je najpredávanejšia? Chcem niečo čo naozaj chutí.",Product Question,human,0.8746838,,,,,0,,False,True
109,Otvorený kreatín!,"Objednávka 64389, kreatín ktorý mi prišiel je otvorený! Chýba tam možno polovica!",Product Question,human,0.8464193,64389,64389,,,1,many_exclamations,False,True
110,Priniesť osobne na predajňu?,Prosím o vrátenie objednávky 51693. Môžem to priniesť osobne na predajňu?,Store / Delivery / Availability,human,0.8429843,51693,51693,,,0,,False,True
111,Brať aj v nétréningové dni?,"Ahoj, mám brať proteín aj v dňoch keď netrénujem?",Product Question,human,0.8633531,,,,,0,,False,True
112,Stav objednávky,"Dobrý večer, objednávka 55421 kedy bude odoslaná? Ďakujem za odpoveď.",Order Status,human,0.8725204,55421,55421,,,0,,False,True
113,Kazí sa proteín?,"Ahojte, ako dlho vydrží otvorený proteín? Pokazí sa?",Product Question,bot,0.8562067,,,,,0,,False,False
114,Pre seniora,"Dobrý deň, môj otec má 68 rokov a chce začať cvičiť. Je pre neho proteín bezpečný?",Product Question,bot,0.8625783,,,,,0,,False,False
115,Newsletter odhlásenie,"Ahoj, ako sa môžem odhlásiť z newslettra? Chodí mi priveľa emailov.",Order Cancel,bot,0.8549946,,,,,0,,False,False
116,Môžem nakúpiť telefonicky?,"Dobrý večer, dá sa objednať tovar aj cez telefón?",Store / Delivery / Availability,bot,0.9170888,,,,,0,,False,False
117,Koľko trvá vrátenie peňazí?,"Dobrý deň, za ako dlho mi vrátite peniaze po vrátení tovaru?",Store / Delivery / Availability,bot,0.8613678,,,,,0,,False,False
118,Ako sa stať partnerom?,"Dobrý deň, prevádzkovujem fitnescentrum a zaujíma ma možnosť veľkoobchodnej spolupráce. Kde nájdem viac info?",Cooperation / Partnership,human,0.8688898,,,,,0,,False,False
119,Rozbitý shaker,"Obj. 91584, shaker je celý rozbitý, použiť sa nedá. Chcem nový alebo peniaze späť.",Return / Complaint,human,0.84520084,91584,91584,,,0,,False,False
120,Koľko dní skladujete na výdajnom mieste?,"Prosím vás, koľko dní mám čas vyzdvihnúť si objednávku z výdajného miesta?",Store / Delivery / Availability,bot,0.8724127,,,,,0,,False,False
121,L-karnitín tekutý účinok,"Dobrý večer, L-karnitín v tekutej forme od GymBeam naozaj pomáha pri chudnutí? Kedy ho mám piť?",Product Question,bot,0.86065865,,,,,0,,False,False
122,Kreatín monohydrát vs iné,"Dobrý deň, je nejaký rozdiel medzi kreatín monohydrátom a inými formami kreatínu? Čo je lepšie?",Product Question,bot,0.86858267,,,,,0,,False,False
123,Musím sa registrovať?,"Prosím vás, musím si vytvoriť účet alebo môžem nakúpiť bez registrácie?",Store / Delivery / Availability,bot,0.86044466,,,,,0,,False,False
124,Kedy peniaze na účet?,"Ahojte, obj. 82647 vrátenie. Kedy mi prídu peniaze naspäť na účet?",Order Status,bot,0.84813005,82647,82647,,,0,,False,False
125,Dávkovanie BCAA,"Dobrý večer, ako správne dávkovať BCAA? Koľko to mám brať?",Product Question,bot,0.85222715,,,,,0,,False,False
126,Rozsypané aminokyseliny,"Prosím o pomoc, objednávka 54671, aminokyseliny sú celé rozsypané v balíku.",Return / Complaint,human,0.85363775,54671,54671,,,0,,False,True
127,Koľko stojí dobierka?,"Ahoj, koľko je poplatok za platbu na dobierku?",Store / Delivery / Availability,bot,0.8570632,,,,,0,,False,False
128,Materiál šortiek Vertical,"Ahoj, z akého materiálu sú šortky Vertical Black? Sú priedušné? Chodím behať a potrebujem niečo čo odvádza pot.",Product Question,human,0.82845956,,,,,0,,False,True
129,Objednávka pre právnickú osobu,"Dobrý večer, ako vytvoriť objednávku na firmu? Potrebujem faktúru s DIČ.",Order Modify,human,0.86933976,,,,,0,,False,False
130,4 dni bez odpovede,Objednávka 87632 kedy príde? Už 4 dni čakám na odpoveď.,Order Status,human,0.85753965,87632,87632,,,0,,False,True
131,Tracking pre 75421,Prosím tracking pre 75421,Order Cancel,bot,0.84361464,75421,"75421,75421",,,0,,False,False
132,URGENT - Váš balík čaká,SLOVENSKÁ POŠTA: Váš balík č. SP892347 čaká na vyzdvihnutie. Musíte zaplatiť colný poplatok 2.50 EUR. Kliknite tu pre platbu: www.phishing-posta.sk BALÍK BUDE VRÁTENÝ ZA 48 HODÍN!!!,Spam / Phishing,blocked,0.8681372,,,www.phishing-posta.sk,,5,"has_url,kliknite tu,lots_of_caps,many_exclamations",True,False
133,PRIŠIEL NESPRÁVNY PRODUKT!!!,SKANDÁL! Objednal som 3kg whey a prišiel mi nejaký gainér!!! Objednávka 72341. Chcem peniaze naspäť HNEĎ!,Return / Complaint,human,0.86085457,72341,72341,,,2,"lots_of_caps,many_exclamations",False,True
134,Športová podprsenka Simple podpora,"Ahoj, aká je úroveň podpory pri športovej podprsenke Simple Black? Mám väčšiu veľkosť a potrebujem silnú podporu.",Product Question,bot,0.84802616,,,,,0,,False,False
135,Zvláštna vôňa proteínu,"Dobrý deň, prosím o reklamáciu obj. 94271. Proteín má zvláštnu vôňu a farbu, nevyzerá to normálne.",Return / Complaint,human,0.8605378,94271,94271,,,0,,False,False
136,tracking???,obj 95623 tracking???,Store / Delivery / Availability,human,0.83514017,95623,95623,,,0,,False,True
137,Požiadavka o sponzoring športovca,"Ahoj, volám sa Marek a som amatérsky kulturista. Súťažím už 2 roky a teraz sa pripravujem na majstrovstvá Slovenska. Potreboval by som sponzoring vo forme doplnkov výživy. Môžete mi pomôcť?",Cooperation / Partnership,human,0.8850084,,,,,0,,False,False
138,Nejde zaplatiť,"Ahojte, objednávka 69743, nemôžem ju zaplatiť kartou. Radšej ju zrušte.",Order Cancel,bot,0.8719806,69743,69743,,,0,,False,False
139,Zrušenie čaká na spracovanie,"Dobrý večer, objednávka 64173, chcem zrušiť. Ešte stále je v stave čaká na spracovanie.",Order Status,bot,0.8823216,64173,64173,,,0,,False,False
140,Vrátenie gainery,"Ahojte, chcem vrátiť gainér z obj. 64257. Je to ešte neotvorené. Vráti sa mi plná suma?",Return / Complaint,human,0.8422182,64257,64257,,,0,,False,False
141,Dotaz na dávkovanie,"Dobrý deň, potrebujem vedieť správne dávkovanie pre whey proteín. Koľko odmeriek denne?",Product Question,bot,0.8560045,,,,,0,,False,False
142,Kedy brať kreatín?,"Ahojte, kedy je najlepšie užívať kreatín? Pred alebo po tréningu?",Product Question,bot,0.92132336,,,,,0,,False,False
143,Už som to kúpil inde,"Dobrý večer, prosím o zrušenie objednávky 85273. Už som si to kúpil inde.",Order Cancel,bot,0.8634412,85273,85273,,,0,,False,False
144,Chcem zrušiť objednávku,"Dobrý večer, objednávka 72935, chcem ju zrušiť. Ešte je čas?",Order Cancel,human,0.87912035,72935,72935,,,0,,False,True
145,Odkiaľ pochádzate?,"Ahoj, ste slovenská firma? Odkiaľ dovážate produkty?",Store / Delivery / Availability,bot,0.85860354,,,,,0,,False,False
146,Formulár na vrátenie,"Dobrý večer, potrebujem formulár na vrátenie tovaru pre objednávku 93758.",Return / Complaint,human,0.8684917,93758,93758,,,0,,False,False
147,Zlá príchut!!!,"Prosím vás obj 55318, prišla mi úplne iná príchut než som si objednal!!!",Return / Complaint,human,0.87723213,55318,55318,,,1,many_exclamations,False,False
148,Arašidové maslo zloženie,"Dobrý deň, môžete mi povedať či arašidové maslo GymBeam obsahuje palmový olej? A koľko percent arašidov tam je?",Product Question,human,0.839346,,,,,0,,False,True
149,Neviem sa prihlásiť,"Ahoj, neviem sa prihlásiť do môjho účtu. Píše to zlé heslo ale som si istý že je správne.",Order Cancel,human,0.8612813,,,,,1,heslo,False,True
